valuation_date,expiry_date,contract_month,option_type,strike,premium
2026-03-15,2026-04-17,2026-05,C,68,10.687
2026-03-15,2026-04-17,2026-05,P,68,0.529
2026-03-15,2026-04-17,2026-05,C,72,7.211
2026-03-15,2026-04-17,2026-05,P,72,1.036
2026-03-15,2026-04-17,2026-05,C,76,4.259
2026-03-15,2026-04-17,2026-05,P,76,2.068
2026-03-15,2026-04-17,2026-05,C,78,3.085
2026-03-15,2026-04-17,2026-05,P,78,2.886
2026-03-15,2026-04-17,2026-05,C,80,2.211
2026-03-15,2026-04-17,2026-05,P,80,4.003
2026-03-15,2026-04-17,2026-05,C,84,0.916
2026-03-15,2026-04-17,2026-05,P,84,6.706
2026-03-15,2026-04-17,2026-05,C,88,0.388
2026-03-15,2026-04-17,2026-05,P,88,10.158
2026-03-15,2026-05-20,2026-06,C,68,11.518
2026-03-15,2026-05-20,2026-06,P,68,0.186
2026-03-15,2026-05-20,2026-06,C,72,8.729
2026-03-15,2026-05-20,2026-06,P,72,1.365
2026-03-15,2026-05-20,2026-06,C,76,6.227
2026-03-15,2026-05-20,2026-06,P,76,2.829
2026-03-15,2026-05-20,2026-06,C,78,5.201
2026-03-15,2026-05-20,2026-06,P,78,3.769
2026-03-15,2026-05-20,2026-06,C,80,4.294
2026-03-15,2026-05-20,2026-06,P,80,4.828
2026-03-15,2026-05-20,2026-06,C,84,2.780
2026-03-15,2026-05-20,2026-06,P,84,7.262
2026-03-15,2026-05-20,2026-06,C,88,1.680
2026-03-15,2026-05-20,2026-06,P,88,10.099
